"","USA","1","United States","16,244,600"
"1","CHN","2","China"," 8,227,103 "
"2","JPN","3","Japan"," 5,959,718 "
"3","DEU","4","Germany"," 3,428,131 "
"4","FRA","5","France"," 2,612,878 "
"5","GBR","6","United Kingdom"," 2,471,784 "
"6","BRA","7","Brazil"," 2,252,664 "
"7","RUS","8","Russian Federation"," 2,014,775 "
"8","ITA","9","Italy"," 2,014,670 "
"9","IND","10","India"," 1,841,710 "
"10","CAN","11","Canada"," 1,821,424 "
"11","AUS","12","Australia"," 1,532,408 "
"12","ESP","13","Spain"," 1,322,965 "
"13","MEX","14","Mexico"," 1,178,126 "
"14","KOR","15","Korea, Rep."," 1,129,598 "
"15","IDN","16","Indonesia"," 878,043 "
"16","TUR","17","Turkey"," 789,257 "
"17","NLD","18","Netherlands"," 770,555 "
"18","SAU","19","Saudi Arabia"," 711,050 "
"19","CHE","20","Switzerland"," 631,173 "
"20","SWE","21","Sweden"," 523,806 "
"21","IRN","22","Iran, Islamic Rep."," 514,060 "
"22","NOR","23","Norway"," 499,667 "
"23","POL","24","Poland"," 489,795 "
"24","BEL","25","Belgium"," 483,262 "
"25","ARG","26","Argentina"," 475,502 "
"26","AUT","27","Austria"," 394,708 "
"27","ZAF","28","South Africa"," 384,313 "
"28","VEN","29","Venezuela, RB"," 381,286 "
"29","COL","30","Colombia"," 369,606 "
"30","THA","31","Thailand"," 365,966 "
"31","ARE","32","United Arab Emirates"," 348,595 "
"32","DNK","33","Denmark"," 314,887 "
"33","MYS","34","Malaysia"," 305,033 "
"34","SGP","35","Singapore"," 274,701 "
"35","CHL","36","Chile"," 269,869 "
"36","HKG","37","Hong Kong SAR, China"," 263,259 "
"37","EGY","38","Egypt, Arab Rep."," 262,832 "
"38","NGA","39","Nigeria"," 262,597 "
"39","ISR","40","Israel"," 258,217 "
"40","PHL","41","Philippines"," 250,182 "
"41","GRC","42","Greece"," 249,099 "
"42","FIN","43","Finland"," 247,546 "
"43","PAK","44","Pakistan"," 225,143 "
"44","PRT","45","Portugal"," 212,274 "
"45","IRL","46","Ireland"," 210,771 "
"46","IRQ","47","Iraq"," 210,280 "
"47","DZA","48","Algeria"," 205,789 "
"48","PER","49","Peru"," 203,790 "
"49","KAZ","50","Kazakhstan"," 203,521 "
"50","CZE","51","Czech Republic"," 196,446 "
"51","ROM","52","Romania"," 192,711 "
"52","UKR","53","Ukraine"," 176,309 "
"53","QAT","54","Qatar"," 171,476 "
"54","NZL","55","New Zealand"," 167,347 "
"55","KWT","56","Kuwait"," 160,913 "
"56","VNM","57","Vietnam"," 155,820 "
"57","HUN","58","Hungary"," 124,600 "
"58","BGD","59","Bangladesh"," 116,355 "
"59","AGO","60","Angola"," 114,147 "
"60","PRI","61","Puerto Rico"," 101,496 "
"61","MAR","62","Morocco"," 95,982 "
"62","SVK","63","Slovak Republic"," 91,149 "
"63","ECU","64","Ecuador"," 84,040 "
"64","SYR","65","Syrian Arab Republic"," 73,672 "
"65","OMN","66","Oman"," 69,972 "
"66","CUB","67","Cuba"," 68,234 "
"67","AZE","68","Azerbaijan"," 66,605 "
"68","BLR","69","Belarus"," 63,267 "
"69","LKA","70","Sri Lanka"," 59,423 "
"70","HRV","71","Croatia"," 59,228 "
"71","DOM","72","Dominican Republic"," 59,047 "
"72","SDN","73","Sudan"," 58,769 "
"73","LUX","74","Luxembourg"," 55,178 "
"74","UZB","75","Uzbekistan"," 51,113 "
"75","BGR","76","Bulgaria"," 50,972 "
"76","GTM","77","Guatemala"," 50,234 "
"77","URY","78","Uruguay"," 49,920 "
"78","TUN","79","Tunisia"," 45,662 "
"79","SVN","80","Slovenia"," 45,279 "
"80","CRI","81","Costa Rica"," 45,104 "
"81","MAC","82","Macao SAR, China"," 43,582 "
"82","LBN","83","Lebanon"," 42,945 "
"83","LTU","84","Lithuania"," 42,344 "
"84","ETH","85","Ethiopia"," 41,605 "
"85","GHA","86","Ghana"," 40,711 "
"86","KEN","87","Kenya"," 40,697 "
"87","SRB","88","Serbia"," 37,489 "
"88","PAN","89","Panama"," 36,253 "
"89","YEM","90","Yemen, Rep."," 35,646 "
"90","TKM","91","Turkmenistan"," 35,164 "
"91","JOR","92","Jordan"," 31,015 "
"92","BHR","93","Bahrain"," 29,044 "
"93","LVA","94","Latvia"," 28,373 "
"94","TZA","95","Tanzania"," 28,242 "
"95","BOL","96","Bolivia"," 27,035 "
"96","PRY","97","Paraguay"," 25,502 "
"97","CMR","98","Cameroon"," 25,322 "
"98","CIV","99","Côte d'Ivoire"," 24,680 "
"99","SLV","100","El Salvador"," 23,864 "
"100","TTO","101","Trinidad and Tobago"," 23,320 "
"101","CYP","102","Cyprus"," 22,767 "
"102","EST","103","Estonia"," 22,390 "
"103","ZMB","104","Zambia"," 20,678 "
